City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
245,Odienne,CI,9.51,-7.5692,86.76,28,67,4.43,2022-04-21 20:02:54
246,Bay Saint Louis,US,30.3088,-89.33,82.06,69,40,13.8,2022-04-21 20:00:05
247,Merauke,ID,-8.4667,140.3333,80.62,81,100,4.34,2022-04-21 20:00:29
248,Putina,PE,-15.4667,-69.4333,50.65,47,61,7.65,2022-04-21 20:02:55
249,Eatonton,US,33.3268,-83.3885,77.36,51,56,4.92,2022-04-21 20:02:15
250,Clarence Town,AU,-32.5833,151.7833,62.51,96,100,1.97,2022-04-21 20:02:55
251,Wilmington,US,34.2257,-77.9447,72.95,59,91,5.99,2022-04-21 19:59:12
252,San Quintin,MX,30.4833,-115.95,64.49,64,72,20.49,2022-04-21 20:02:56
253,Huarmey,PE,-10.0681,-78.1522,73.33,72,82,12.66,2022-04-21 20:02:56
254,Bambous Virieux,MU,-20.3428,57.7575,78.22,73,100,13.13,2022-04-21 20:02:57
255,Slavutych,UA,51.5196,30.7343,41.31,93,100,10.67,2022-04-21 20:02:57
256,Wakkanai,JP,45.4094,141.6739,50.14,69,100,26.08,2022-04-21 20:02:57
257,Hovd,MN,48.0056,91.6419,46.04,38,100,7.74,2022-04-21 20:02:58
258,Biak,ID,-0.9131,122.8766,76.59,85,89,2.06,2022-04-21 20:02:58
259,Sur,OM,22.5667,59.5289,84.58,53,0,8.19,2022-04-21 20:02:59
260,Pozo Colorado,PY,-23.4923,-58.7972,92.26,33,87,5.14,2022-04-21 20:02:59
261,Jaguaribe,BR,-5.8906,-38.6219,85.42,59,78,5.55,2022-04-21 20:02:59
262,Kishorganj,BD,24.4333,90.7667,74.82,85,72,5.03,2022-04-21 20:03:00
263,Camacupa,AO,-12.0167,17.4833,62.56,70,69,4.72,2022-04-21 20:03:00
264,Pierre,US,44.3683,-100.351,59.05,51,20,19.57,2022-04-21 20:03:00
265,Sikasso,ML,10.9167,-7.0,92.01,12,26,3.91,2022-04-21 20:03:01
266,Karratha,AU,-20.7377,116.8463,81.73,43,68,8.72,2022-04-21 20:03:01
267,Baoding,CN,38.8511,115.4903,53.56,42,2,6.06,2022-04-21 20:03:01
268,Kinkala,CG,-4.3614,14.7644,73.02,91,89,2.64,2022-04-21 20:03:02
269,Yenagoa,NG,4.9247,6.2642,78.35,91,100,5.5,2022-04-21 20:03:02
270,Rio Grande,BR,-32.035,-52.0986,73.31,61,4,7.94,2022-04-21 20:03:02
271,Darnah,LY,32.767,22.6367,62.89,69,80,17.9,2022-04-21 20:03:03
272,Shimanovsk,RU,52.0,127.7,30.83,63,7,5.32,2022-04-21 20:03:03
273,Brae,GB,60.3964,-1.353,46.87,89,12,13.71,2022-04-21 20:04:04
274,Havoysund,NO,70.9963,24.6622,39.43,94,100,21.52,2022-04-21 20:04:04
275,Boa Vista,BR,2.8197,-60.6733,80.58,74,75,3.44,2022-04-21 20:04:04
276,Acarau,BR,-2.8856,-40.12,80.28,84,97,13.04,2022-04-21 20:01:13
277,North Platte,US,41.1239,-100.7654,75.09,34,0,21.85,2022-04-21 20:04:05
278,Nalut,LY,30.3333,10.85,69.3,28,0,13.78,2022-04-21 20:04:05
279,Markova,UA,48.6758,24.4138,40.62,94,100,3.29,2022-04-21 20:04:05
280,Hay River,CA,60.8156,-115.7999,37.2,72,70,3.89,2022-04-21 20:01:34
281,Lamu,KE,-2.2717,40.902,80.78,77,100,9.75,2022-04-21 20:04:06
282,Gotsu,JP,35.0,132.2167,54.03,94,6,8.08,2022-04-21 20:04:06
283,Lasa,IT,46.6166,10.7002,47.35,97,92,3.91,2022-04-21 20:04:07
284,Torbay,CA,47.6666,-52.7314,47.75,64,96,13.89,2022-04-21 20:04:07
285,Bullhead City,US,35.1478,-114.5683,89.58,17,0,13.8,2022-04-21 20:04:08
286,Korla,CN,41.7597,86.1469,64.47,31,38,6.76,2022-04-21 20:04:08
287,San Patricio,US,28.017,-97.5169,87.89,55,39,20.11,2022-04-21 20:04:08
288,Srednekolymsk,RU,67.45,153.6833,14.56,96,99,3.27,2022-04-21 20:04:09
289,Gacko,BA,43.1672,18.5353,41.77,86,100,5.5,2022-04-21 20:04:09
290,Colquechaca,BO,-18.6667,-66.0167,49.33,35,30,6.42,2022-04-21 20:04:09
291,Matara,LK,5.9485,80.5353,77.68,89,43,4.03,2022-04-21 20:04:10
292,Thatta,PK,24.7475,67.9235,79.81,68,87,11.39,2022-04-21 20:04:10
293,Marrakesh,MA,31.6315,-8.0083,68.07,24,0,6.91,2022-04-21 20:00:16
294,Adiake,CI,5.2863,-3.304,75.49,92,100,4.63,2022-04-21 20:04:11
